City,State,Composite Index,Grocery Items,Housing,Utilities,Transportation,Healthcare,Misc. Goods and Services,Latitude,Longitude
Chicago,IL,116.8707070924818,111.21115609681218,134.77783610043048,117.2527422755129,116.47580196289525,108.45757672167741,104.3900022953012,41.84,-87.68
Dallas,TX,91.87397034865717,96.2453530838291,70.68551043895503,105.46142812851413,100.89925469267924,103.80613465310118,100.44168222427933,32.79,-96.77
Los Angeles,CA,136.36729517544347,106.00880278960278,207.09880667579594,101.69503330199548,113.5664331933492,109.10561617442343,107.0179780417868,34.11,-118.41
New York,NY,185.77375200675067,137.7462806586044,311.7597328586018,168.86417782811364,110.6713614228486,119.89199854492524,129.70734368650324,40.67,-73.94
Seattle,WA,121.35363503570304,115.05246488751615,140.25250212162723,85.65453592092769,118.83847592699748,119.8930988907156,119.13439808993147,47.62,-122.35
