GeoFips,GeoName,Income,Year
1001,"Autauga, AL",19.55049019607843,2016
1003,"Baldwin, AL",21.148529411764706,2016
1005,"Barbour, AL",15.652941176470588,2016
1007,"Bibb, AL",14.20392156862745,2016
1009,"Blount, AL",16.12843137254902,2016
1011,"Bullock, AL",12.747549019607844,2016
1013,"Butler, AL",16.859803921568627,2016
1015,"Calhoun, AL",17.11764705882353,2016
1017,"Chambers, AL",16.031372549019608,2016
1019,"Cherokee, AL",16.393627450980393,2016
1021,"Chilton, AL",15.930392156862744,2016
1023,"Choctaw, AL",17.78186274509804,2016
1025,"Clarke, AL",17.097549019607843,2016
1027,"Clay, AL",15.397058823529411,2016
1029,"Cleburne, AL",16.75,2016
1031,"Coffee, AL",19.745098039215687,2016
1033,"Colbert, AL",17.874019607843138,2016
1035,"Conecuh, AL",15.018627450980393,2016
1037,"Coosa, AL",14.410294117647059,2016
1039,"Covington, AL",16.398529411764706,2016
1041,"Crenshaw, AL",16.972549019607843,2016
1043,"Cullman, AL",18.091176470588234,2016
1045,"Dale, AL",17.098039215686274,2016
1047,"Dallas, AL",16.51078431372549,2016
1049,"DeKalb, AL",14.745098039215685,2016
1051,"Elmore, AL",19.5328431372549,2016
1053,"Escambia, AL",15.091666666666667,2016
1055,"Etowah, AL",17.191176470588236,2016
1057,"Fayette, AL",16.026470588235295,2016
1059,"Franklin, AL",15.405882352941177,2016
1061,"Geneva, AL",16.198529411764707,2016
1063,"Greene, AL",15.27450980392157,2016
1065,"Hale, AL",17.220588235294116,2016
1067,"Henry, AL",19.216176470588234,2016
1069,"Houston, AL",19.580392156862747,2016
1071,"Jackson, AL",17.07450980392157,2016
1073,"Jefferson, AL",24.481372549019607,2016
1075,"Lamar, AL",15.726960784313725,2016
1077,"Lauderdale, AL",17.41813725490196,2016
1079,"Lawrence, AL",15.403921568627451,2016
1081,"Lee, AL",17.616666666666667,2016
1083,"Limestone, AL",19.234313725490196,2016
1085,"Lowndes, AL",18.098529411764705,2016
1087,"Macon, AL",15.144607843137255,2016
1089,"Madison, AL",23.643137254901962,2016
1091,"Marengo, AL",18.03970588235294,2016
1093,"Marion, AL",15.022549019607844,2016
1095,"Marshall, AL",16.641176470588235,2016
1097,"Mobile, AL",17.83872549019608,2016
1099,"Monroe, AL",15.69264705882353,2016
1101,"Montgomery, AL",20.41813725490196,2016
1103,"Morgan, AL",18.311274509803923,2016
1105,"Perry, AL",14.66813725490196,2016
1107,"Pickens, AL",15.299509803921568,2016
1109,"Pike, AL",17.20441176470588,2016
1111,"Randolph, AL",15.306862745098039,2016
1113,"Russell, AL",15.102450980392156,2016
1115,"St. Clair, AL",17.623039215686273,2016
1117,"Shelby, AL",24.940686274509805,2016
1119,"Sumter, AL",15.020098039215686,2016
1121,"Talladega, AL",16.033333333333335,2016
1123,"Tallapoosa, AL",18.91176470588235,2016
1125,"Tuscaloosa, AL",17.900490196078433,2016
1127,"Walker, AL",18.361764705882354,2016
1129,"Washington, AL",17.05735294117647,2016
1131,"Wilcox, AL",15.234803921568627,2016
1133,"Winston, AL",15.666666666666666,2016
2010,"Aleutian Islands Census Area, AK*",0,2016
2013,"Aleutians East Borough, AK*",28.347058823529412,2016
2016,"Aleutians West Census Area, AK*",27.32598039215686,2016
2020,"Anchorage Municipality, AK",30.600980392156863,2016
2050,"Bethel Census Area, AK*",20.33921568627451,2016
2060,"Bristol Bay Borough, AK",58.96764705882353,2016
2068,"Denali Borough, AK*",37.0921568627451,2016
2070,"Dillingham Census Area, AK*",27.269607843137255,2016
2090,"Fairbanks North Star Borough, AK",26.005392156862744,2016
2100,"Haines Borough, AK",28.231862745098038,2016
2105,"Hoonah-Angoon Census Area, AK*",27.144607843137255,2016
2110,"Juneau City and Borough, AK",31.766176470588235,2016
2122,"Kenai Peninsula Borough, AK",24.380882352941178,2016
2130,"Ketchikan Gateway Borough, AK*",31.720588235294116,2016
2150,"Kodiak Island Borough, AK",28.37107843137255,2016
2158,"Kusilvak Census Area, AK*",14.772058823529411,2016
2164,"Lake and Peninsula Borough, AK*",26.765196078431373,2016
2170,"Matanuska-Susitna Borough, AK",21.966666666666665,2016
2180,"Nome Census Area, AK*",23.679411764705883,2016
2185,"North Slope Borough, AK",43.90882352941176,2016
2188,"Northwest Arctic Borough, AK",21.58970588235294,2016
2195,"Petersburg Borough, AK*",31.5421568627451,2016
2198,"Prince of Wales-Hyder Census Area, AK*",19.641176470588235,2016
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",0,2016
2220,"Sitka City and Borough, AK",31.271568627450982,2016
2230,"Skagway Municipality, AK*",36.76960784313726,2016
2231,"Skagway-Yakutat-Angoon Census Area, AK*",0,2016
2232,"Skagway-Hoonah-Angoon Census Area, AK*",0,2016
2240,"Southeast Fairbanks Census Area, AK*",22.958333333333332,2016
2261,"Valdez-Cordova Census Area, AK*",28.21078431372549,2016
2275,"Wrangell City and Borough, AK*",22.21078431372549,2016
2280,"Wrangell-Petersburg Census Area, AK*",0,2016
2282,"Yakutat City and Borough, AK*",26.83921568627451,2016
2290,"Yukon-Koyukuk Census Area, AK*",26.419607843137253,2016
2901,"Aleutian Islands Division, AK*",0,2016
2903,"Angoon Division, AK*",0,2016
2904,"Barrow-North Slope Division, AK*",0,2016
2905,"Bethel Division, AK*",0,2016
2907,"Bristol Bay Division, AK*",0,2016
2908,"Cordova-McCarthy Division, AK*",0,2016
2910,"Haines Division, AK*",0,2016
2912,"Kenai-Cook Inlet Division, AK*",0,2016
2916,"Kuskokwim Division, AK*",0,2016
